Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Dia,10-junio-2026,10-junio-2026.1,10-junio-2026.2,10-junio-2026.3,10-junio-2026.4,10-junio-2026.5,10-junio-2026.6,10-junio-2026.7,10-junio-2026.8,10-junio-2026.9,10-junio-2026.10,10-junio-2026.11,10-junio-2026.12,10-junio-2026.13,10-junio-2026.14,10-junio-2026.15,10-junio-2026.16,10-junio-2026.17,10-junio-2026.18,10-junio-2026.19,10-junio-2026.20,10-junio-2026.21,10-junio-2026.22,10-junio-2026.23,10-junio-2026.24,10-junio-2026.25,10-junio-2026.26,10-junio-2026.27,10-junio-2026.28,10-junio-2026.29,10-junio-2026.30,10-junio-2026.31,10-junio-2026.32,10-junio-2026.33,10-junio-2026.34,10-junio-2026.35,10-junio-2026.36,10-junio-2026.37,10-junio-2026.38,10-junio-2026.39,10-junio-2026.40,10-junio-2026.41,10-junio-2026.42,10-junio-2026.43,10-junio-2026.44,10-junio-2026.45,10-junio-2026.46,10-junio-2026.47,10-junio-2026.48,10-junio-2026.49,10-junio-2026.50,10-junio-2026.51,10-junio-2026.52,10-junio-2026.53,10-junio-2026.54,10-junio-2026.55,10-junio-2026.56,10-junio-2026.57,10-junio-2026.58,10-junio-2026.59,10-junio-2026.60,10-junio-2026.61,10-junio-2026.62,10-junio-2026.63,10-junio-2026.64,10-junio-2026.65,10-junio-2026.66,10-junio-2026.67,10-junio-2026.68,10-junio-2026.69,10-junio-2026.70,10-junio-2026.71,10-junio-2026.72,10-junio-2026.73,10-junio-2026.74,10-junio-2026.75,10-junio-2026.76,10-junio-2026.77,10-junio-2026.78,10-junio-2026.79,10-junio-2026.80,10-junio-2026.81,10-junio-2026.82,10-junio-2026.83,10-junio-2026.84,10-junio-2026.85,10-junio-2026.86,10-junio-2026.87,10-junio-2026.88,10-junio-2026.89,10-junio-2026.90,10-junio-2026.91,10-junio-2026.92,10-junio-2026.93,10-junio-2026.94,10-junio-2026.95
,,,,,Cuarto de Hora del dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Sentido,Unidad de Programación,Bloque,Tipo Oferta,Precedencia,Indicadores,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
Venta,BRR1,Blq. 8,1,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,BRR1,Blq. 9,1,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,BRR1,Blq.10,1,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,BTN,Blq. 1,1,Mercado,,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Venta,BTRR1,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,0","0,1","0,6","0,4","0,8","0,3","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,7","0,3","0,2","0,0","0,0","0,1","0,0","0,0","0,2","0,2","0,0","0,3","0,7","0,3","1,1","0,6","0,4","0,2","0,2","0,1","0,2","0,1","0,4","0,2","0,0","0,1","0,1","0,1","0,0","0,0","0,0","0,2","0,0","0,4","0,4","0,0","0,4","0,0","0,0","0,3","0,4","0,5","0,5","0,5","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,BTRR2,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,4","0,0","0,0","0,0","0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,3","0,0","0,0","0,0","0,0","0,0","0,2","0,0","0,1","0,0","0,0","0,2","0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,1","0,1","0,4","0,1","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,BTRR3,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,2","0,1","0,0","0,0","0,2","0,1","0,2","0,0","0,4","0,0","1,1","0,4","0,2","0,0","0,3","0,2","0,5","0,3","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,3","0,2","0,0","0,0","0,3","0,0","0,0","0,0","0,1","0,0","0,3","0,0","0,2","0,0","0,7","0,7","0,5","0,4","0,7","0,5","0,3","0,1","0,3","0,0","0,0","0,3","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,BYDETIC,Blq. 1,2,Mercado,,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Venta,CAMGI10,Blq. 1,1,Mercado,,"392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7","392,7"
Venta,CAMGI20,Blq. 1,1,Mercado,,"388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0","388,0"
Venta,CASAI,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CASAII,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CASAIII,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CASAIV,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CASAIX,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CASAV,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CASAVI,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CASAVII,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CASMON,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CATRAL1,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CATRAL2,Blq. 1,2,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CGGRABI,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CGLAM,Blq. 1,2,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CHBAO,Blq. 1,1,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CHIPB,Blq. 1,3,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CHIPG,Blq. 1,1,Mercado,,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Venta,CHURC,Blq. 1,1,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CHURD,Blq. 1,1,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,CILCOR,Blq. 1,10,Mercado,,"54,5","54,5","54,5","54,5","54,6","54,6","54,6","54,6","54,6","54,6","54,6","54,6","54,6","54,6","54,6","54,6","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,6","54,6","54,6","54,6","54,7","54,7","54,7","54,7","54,9","54,9","54,9","54,9","55,4","55,4","55,4","55,4","55,8","55,8","55,8","55,8","55,9","55,9","55,9","55,9","55,4","55,4","55,4","55,4","55,9","55,9","55,9","55,9","56,0","56,0","56,0","56,0","55,1","55,1","55,1","55,1","54,4","54,4","54,4","54,4","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,7","54,6","54,6","54,6","54,6","54,4","54,4","54,4","54,4","54,4","54,4","54,4","54,4"
Venta,CINCOVI,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
